ID,DATE,ZIPCODE,PRICE,BEDROOMS,BATHROOMS,M2_LIVING,M2_LOT,FLOORS,WATERFRONT,VIEW,CONDITION,GRADE,M2_ABOVE,M2_BASEMENT,YR_BUILT,YR_RENOVATED,LAT,LONG,MEDIAN_PRICE,SEASON,SEASON_PRICE,PRICE_M2,ZIPCODE_PRICE_M2,GROUP,SELLING_PRICE,SS_SELLING_PRICE,EXPECTED_PROFIT,SS_EXPECTED_PROFIT
7129300520,2014-10-13,98178,221900.0,3,1.0,109.74,525.45,1.0,0,0,3,7,109.74,0.0,1955,0,47.5112,-122.257,279500.0,autumn,531178.9747433265,2022.0521232002916,1983.6844378607714,group_1,244090.00000000003,256294.50000000003,22190.00000000003,34394.50000000003
4060000240,2014-06-23,98178,205425.0,2,1.0,81.84,630.54,1.0,0,0,4,6,81.84,0.0,1945,0,47.5009,-122.248,279500.0,summer,542737.7956120092,2510.0806451612902,1983.6844378607714,group_1,225967.50000000003,237265.87500000003,20542.50000000003,31840.87500000003
2976800796,2014-09-25,98178,236000.0,3,1.0,120.9,548.514,1.0,0,0,3,7,120.9,0.0,1961,0,47.5053,-122.255,279500.0,autumn,531178.9747433265,1952.0264681555004,1983.6844378607714,group_2,283200.0,297360.0,47200.0,61360.0
6874200960,2015-02-27,98178,170000.0,2,1.0,79.98,489.645,1.0,0,0,3,6,79.98,0.0,1931,0,47.5048,-122.272,279500.0,winter,522541.25867168594,2125.5313828457115,1983.6844378607714,group_1,187000.00000000003,196350.00000000003,17000.00000000003,26350.00000000003
4268200055,2015-05-01,98178,245000.0,3,1.75,161.82,1073.871,1.0,0,0,3,7,161.82,0.0,1954,0,47.4945,-122.22,279500.0,spring,558667.5808400884,1514.027932270424,1983.6844378607714,group_2,294000.0,308700.0,49000.0,63700.0
3969300030,2014-12-29,98178,239900.0,4,1.0,93.0,663.462,1.0,0,0,3,6,93.0,0.0,1943,0,47.4897,-122.24,279500.0,winter,522541.25867168594,2579.569892473118,1983.6844378607714,group_1,263890.0,277084.5,23990.0,37184.5
1180003090,2014-09-06,98178,190000.0,2,1.0,58.589999999999996,558.0,1.0,0,0,3,6,58.589999999999996,0.0,1943,2005,47.4973,-122.221,279500.0,summer,542737.7956120092,3242.8742106161462,1983.6844378607714,group_1,209000.00000000003,219450.00000000003,19000.00000000003,29450.00000000003
561000075,2014-12-31,98178,260000.0,3,1.0,109.74,497.55,1.5,0,0,4,6,109.74,0.0,1959,0,47.505,-122.259,279500.0,winter,522541.25867168594,2369.236376890833,1983.6844378607714,group_1,286000.0,300300.0,26000.0,40300.0
3348401740,2015-01-27,98178,188000.0,2,1.5,104.16,1626.291,1.0,0,0,3,6,104.16,0.0,1924,0,47.5024,-122.271,279500.0,winter,522541.25867168594,1804.915514592934,1983.6844378607714,group_1,206800.00000000003,217140.00000000003,18800.00000000003,29140.00000000003
5476200160,2014-07-25,98178,164808.0,3,1.0,116.25,503.223,1.0,0,0,3,7,116.25,0.0,1980,0,47.5064,-122.265,279500.0,summer,542737.7956120092,1417.7032258064517,1983.6844378607714,group_2,197769.6,207658.08000000002,32961.600000000006,42850.080000000016
2171400126,2014-06-05,98178,269000.0,3,1.0,157.17,395.25,1.0,0,0,3,7,94.86,62.31,1967,0,47.4945,-122.258,279500.0,spring,558667.5808400884,1711.5225551950118,1983.6844378607714,group_2,322800.0,338940.0,53800.0,69940.0
3352402236,2014-12-15,98178,252500.0,3,2.0,106.95,558.0,1.0,0,0,5,7,106.95,0.0,1956,0,47.498,-122.263,279500.0,autumn,531178.9747433265,2360.9163160355306,1983.6844378607714,group_1,277750.0,291637.5,25250.0,39137.5
7812800310,2014-06-25,98178,260000.0,2,1.0,104.16,525.45,1.0,0,0,3,6,104.16,0.0,1944,0,47.4979,-122.241,279500.0,summer,542737.7956120092,2496.1597542242703,1983.6844378607714,group_1,286000.0,300300.0,26000.0,40300.0
2171400218,2015-04-16,98178,245000.0,4,1.5,119.03999999999999,744.0,1.0,0,0,3,6,119.03999999999999,0.0,1960,0,47.4949,-122.255,279500.0,spring,558667.5808400884,2058.1317204301076,1983.6844378607714,group_2,294000.0,308700.0,49000.0,63700.0
185000118,2015-02-23,98178,212000.0,4,2.0,174.84,697.5,1.0,0,0,5,6,91.14,83.7,1946,0,47.495,-122.266,279500.0,winter,522541.25867168594,1212.5371768474033,1983.6844378607714,group_2,254400.0,267120.0,42400.0,55120.0
3810000860,2015-05-06,98178,240000.0,4,1.5,178.56,741.489,1.0,0,0,3,8,178.56,0.0,1955,0,47.4961,-122.235,279500.0,spring,558667.5808400884,1344.0860215053763,1983.6844378607714,group_3,300000.0,315000.0,60000.0,75000.0
3810000565,2014-07-02,98178,255000.0,4,2.0,225.99,833.28,1.0,0,0,3,7,132.99,93.0,1960,0,47.4979,-122.232,279500.0,summer,542737.7956120092,1128.3685118810567,1983.6844378607714,group_3,318750.0,334687.5,63750.0,79687.5
179000350,2014-11-05,98178,194000.0,3,1.5,93.92999999999999,465.0,1.0,0,0,3,6,93.92999999999999,0.0,1943,0,47.4925,-122.278,279500.0,autumn,531178.9747433265,2065.3678271052913,1983.6844378607714,group_1,213400.00000000003,224070.00000000003,19400.00000000003,30070.00000000003
3810000202,2014-09-05,98178,251700.0,3,2.25,168.33,1097.4,1.0,0,0,3,7,115.32,53.01,1977,0,47.4997,-122.231,279500.0,summer,542737.7956120092,1495.2771342006772,1983.6844378607714,group_2,302040.0,317142.0,50340.0,65442.0
4058802105,2014-09-04,98178,150000.0,3,1.0,134.85,630.168,1.0,0,0,3,7,134.85,0.0,1952,0,47.5056,-122.244,279500.0,summer,542737.7956120092,1112.3470522803116,1983.6844378607714,group_2,180000.0,189000.0,30000.0,39000.0
3810000465,2014-05-20,98178,243000.0,2,1.0,164.60999999999999,513.546,1.5,0,0,4,7,89.28,75.33,1943,0,47.4974,-122.231,279500.0,spring,558667.5808400884,1476.2165117550576,1983.6844378607714,group_2,291600.0,306180.0,48600.0,63180.0
179003055,2014-11-13,98178,210000.0,3,1.0,111.6,697.5,1.0,0,0,3,6,111.6,0.0,1905,1989,47.4921,-122.275,279500.0,autumn,531178.9747433265,1881.720430107527,1983.6844378607714,group_2,252000.0,264600.0,42000.0,54600.0
3352400004,2015-01-29,98178,184500.0,2,1.0,66.96,546.84,1.0,0,0,3,6,66.96,0.0,1940,0,47.5056,-122.27,279500.0,winter,522541.25867168594,2755.3763440860216,1983.6844378607714,group_1,202950.00000000003,213097.50000000003,18450.00000000003,28597.50000000003
3352401981,2014-05-21,98178,199000.0,4,2.0,188.79,755.16,2.0,0,0,3,7,188.79,0.0,1950,0,47.4994,-122.261,279500.0,spring,558667.5808400884,1054.0812543037237,1983.6844378607714,group_3,248750.0,261187.5,49750.0,62187.5
5476200123,2014-07-10,98178,200000.0,4,2.0,194.37,616.59,1.0,0,0,3,7,99.51,94.86,1974,0,47.5077,-122.268,279500.0,summer,542737.7956120092,1028.9653753151206,1983.6844378607714,group_3,250000.0,262500.0,50000.0,62500.0
3800008,2015-02-24,98178,178000.0,5,1.5,185.07,1692.6,1.0,0,0,3,7,185.07,0.0,1960,0,47.4938,-122.262,279500.0,winter,522541.25867168594,961.7982385043498,1983.6844378607714,group_3,222500.0,233625.0,44500.0,55625.0
2172000750,2014-05-27,98178,160000.0,2,1.0,109.74,869.55,1.0,0,0,3,6,109.74,0.0,1918,0,47.4889,-122.259,279500.0,spring,558667.5808400884,1457.991616548205,1983.6844378607714,group_1,176000.0,184800.0,16000.0,24800.0
7813200115,2014-09-04,98178,100000.0,2,1.0,73.47,597.618,1.0,0,0,3,6,73.47,0.0,1944,0,47.4933,-122.245,279500.0,summer,542737.7956120092,1361.0997686130393,1983.6844378607714,group_1,110000.00000000001,115500.00000000001,10000.000000000015,15500.000000000015
3352402250,2014-10-21,98178,119900.0,2,1.0,65.1,295.74,1.0,0,0,3,6,44.64,20.46,1951,0,47.4976,-122.262,279500.0,autumn,531178.9747433265,1841.7818740399387,1983.6844378607714,group_1,131890.0,138484.5,11990.0,18584.5
7657000165,2014-07-30,98178,200000.0,4,1.0,99.51,694.431,1.5,0,0,3,7,99.51,0.0,1944,0,47.4942,-122.235,279500.0,summer,542737.7956120092,2009.8482564566375,1983.6844378607714,group_1,220000.00000000003,231000.00000000003,20000.00000000003,31000.00000000003
399000195,2014-10-20,98178,200000.0,3,1.0,89.28,697.5,1.0,0,0,3,6,89.28,0.0,1953,0,47.4966,-122.255,279500.0,autumn,531178.9747433265,2240.1433691756274,1983.6844378607714,group_1,220000.00000000003,231000.00000000003,20000.00000000003,31000.00000000003
